uptake 	 ICU_duration
0.5000 	 382.5267
0.5045 	 382.5167
0.5090 	 382.4920
0.5135 	 382.4802
0.5180 	 382.4696
0.5225 	 381.7456
0.5270 	 381.7316
0.5315 	 381.7193
0.5360 	 381.6932
0.5405 	 381.6787
0.5450 	 381.6631
0.5495 	 381.6493
0.5540 	 381.6285
0.5585 	 381.6152
0.5630 	 381.5999
0.5675 	 381.6432
0.5720 	 381.6280
0.5765 	 381.6136
0.5810 	 380.8796
0.5855 	 380.8552
0.5900 	 380.8199
0.5945 	 380.7661
0.5990 	 380.6740
0.6035 	 380.5617
0.6080 	 380.4064
0.6125 	 380.1982
0.6170 	 379.9271
0.6215 	 379.5902
0.6260 	 379.1826
0.6305 	 378.7388
0.6350 	 377.4567
0.6395 	 376.7761
0.6440 	 375.9794
0.6485 	 375.0927
0.6530 	 374.0966
0.6575 	 372.9741
0.6620 	 371.7599
0.6665 	 368.3326
0.6710 	 364.1824
0.6755 	 359.3463
0.6800 	 355.2109
0.6845 	 351.1063
0.6890 	 346.2767
0.6935 	 342.1715
0.6980 	 338.0474
0.7025 	 333.9088
0.7070 	 329.8093
0.7115 	 325.6947
0.7160 	 320.8567
0.7205 	 316.0609
0.7250 	 311.9249
0.7295 	 307.8488
0.7340 	 303.7497
0.7385 	 299.6325
0.7430 	 295.5236
0.7475 	 290.6967
0.7520 	 286.5917
0.7565 	 282.4808
0.7610 	 278.3994
0.7655 	 273.5812
0.7700 	 269.5277
0.7745 	 264.7129
0.7790 	 260.5948
0.7835 	 256.4939
0.7880 	 252.4056
0.7925 	 248.2796
0.7970 	 244.2276
0.8015 	 239.4953
0.8060 	 235.3856
0.8105 	 231.2491
0.8150 	 227.1409
0.8195 	 222.2545
0.8240 	 218.8682
0.8285 	 214.0359
0.8330 	 209.8262
0.8375 	 205.7297
0.8420 	 200.8660
0.8465 	 196.7231
0.8510 	 192.4740
0.8555 	 187.6324
0.8600 	 182.6383
0.8645 	 178.4478
0.8690 	 173.3843
0.8735 	 168.3832
0.8780 	 164.0545
0.8825 	 158.1373
0.8870 	 152.9896
0.8915 	 147.6751
0.8960 	 142.9983
0.9005 	 135.7909
0.9050 	 129.6842
0.9095 	 120.4937
0.9140 	 104.0624
0.9185 	 89.4543
0.9230 	 71.2458
0.9275 	 50.8384
0.9320 	 18.2869
0.9365 	 0.0000
0.9410 	 0.0000
0.9455 	 0.0000
