S0 	 S1 	 S2 	 V1 	 V2 	 E0 	 E1 	 E2 	 I0 	 I1 	 I2 	 ICU0 	 ICU1 	 ICU2 	 D 	 R0 	 R1 	 R2 	 h 	 f1 	 f2 (first line is initial values + initially vaccianted)
20821573.578578 	 77329.329580 	 37359.636437 	 74666.147875 	 20306.261942 	 20821.212356 	 154.655976 	 149.435953 	 50976.071630 	 378.640493 	 365.860437 	 510.929853 	 0.000000 	 0.000000 	 0.000000 	 2331942.194490 	 94650.549404 	 128815.494996 	 0.000000 	 434183.367763 	 213365.101748
20821573.578578 	 77329.329580 	 37359.636437 	 74666.147875 	 20306.261942 	 20821.212356 	 154.655976 	 149.435953 	 50976.071630 	 378.640493 	 365.860437 	 510.929853 	 0.000000 	 0.000000 	 0.000000 	 2331942.194490 	 94650.549404 	 128815.494996 	 0.000000 	 15400.414286 	 5921.665311
20817760.661848 	 77858.847718 	 37647.613879 	 75300.585763 	 20257.929583 	 20822.807588 	 151.877590 	 143.973444 	 51001.572968 	 378.748594 	 365.884071 	 514.022724 	 0.057771 	 0.035302 	 1.772362 	 2332646.832037 	 95382.209664 	 129764.567094 	 0.000000 	 15400.414286 	 5921.665311
20813947.674079 	 78388.592112 	 37935.576165 	 75934.855026 	 20209.344972 	 20824.558957 	 149.259958 	 138.792064 	 51026.652102 	 378.721138 	 365.643921 	 517.065969 	 0.114507 	 0.069957 	 3.549182 	 2333351.885200 	 96113.752792 	 130713.891899 	 0.000000 	 15400.414286 	 5921.665311
20810134.733542 	 78918.558309 	 38223.523496 	 76568.956030 	 20160.513096 	 20826.343195 	 146.794710 	 133.877903 	 51051.322000 	 378.568557 	 365.158781 	 520.060381 	 0.170208 	 0.103952 	 5.330382 	 2334057.344866 	 96845.181103 	 131663.459487 	 0.000000 	 15400.414286 	 5921.665311
20806321.950689 	 79448.741971 	 38511.456066 	 77202.889114 	 20111.438805 	 20828.050686 	 144.473914 	 129.217736 	 51075.589617 	 378.300674 	 364.446397 	 523.006743 	 0.224872 	 0.137277 	 7.115889 	 2334763.202132 	 97576.496992 	 132613.260426 	 0.000000 	 15400.414286 	 5921.665311
20802499.005295 	 79979.098788 	 38799.354619 	 77836.615620 	 20062.116765 	 20840.033598 	 142.340105 	 124.818407 	 51099.469721 	 377.926797 	 363.523554 	 525.905824 	 0.278502 	 0.169922 	 8.905628 	 2335469.448196 	 98307.702908 	 133563.285749 	 0.000001 	 15400.414286 	 5921.665311
20798478.364376 	 80508.896264 	 39086.866302 	 78469.440679 	 20012.372417 	 21044.913749 	 141.263998 	 121.008924 	 51128.548456 	 377.482444 	 362.416479 	 528.758859 	 0.331103 	 0.201881 	 10.699573 	 2336176.111825 	 99038.795647 	 134513.527024 	 0.000011 	 15400.414286 	 5921.665311
20794458.020658 	 81038.884997 	 39374.357608 	 79102.110165 	 19962.402625 	 21239.685679 	 140.268848 	 117.402203 	 51166.939417 	 376.995739 	 361.147877 	 531.568643 	 0.382685 	 0.233150 	 12.497844 	 2336883.351646 	 99769.773750 	 135463.976465 	 0.000021 	 15400.414286 	 5921.665311
20790437.872345 	 81569.060300 	 39661.828341 	 79734.623592 	 19912.211577 	 21424.942120 	 139.351194 	 113.988545 	 51213.972693 	 376.471442 	 359.730742 	 534.338121 	 0.433261 	 0.263725 	 14.300585 	 2337591.343924 	 100500.640783 	 136414.626710 	 0.000031 	 15400.414286 	 5921.665311
20786417.825020 	 82099.417617 	 39949.278311 	 80366.980479 	 19861.803353 	 21601.239708 	 138.507712 	 110.758715 	 51269.020076 	 375.914050 	 358.177339 	 537.070025 	 0.482842 	 0.293607 	 16.107930 	 2338300.252149 	 101231.400306 	 137365.470762 	 0.000041 	 15400.414286 	 5921.665311
20782380.682997 	 82629.884488 	 40236.674217 	 80999.113776 	 19811.165634 	 21786.233169 	 137.819317 	 107.736947 	 51331.535336 	 375.328021 	 356.499330 	 539.766895 	 0.531443 	 0.322793 	 17.920001 	 2339010.227842 	 101962.055824 	 138316.501970 	 0.000052 	 15400.414286 	 5921.665311
20778189.444717 	 83159.906155 	 40523.748142 	 81630.495638 	 19760.173371 	 22112.898045 	 137.935517 	 105.171590 	 51405.902525 	 374.741635 	 354.717178 	 542.431537 	 0.579079 	 0.351287 	 19.736953 	 2339721.446711 	 102692.605825 	 139267.714097 	 0.000070 	 15400.414286 	 5921.665311
20773997.816878 	 83690.085018 	 40810.795479 	 82261.728484 	 19708.978110 	 22424.196692 	 138.081916 	 102.752027 	 51494.581508 	 374.173457 	 352.847028 	 545.067858 	 0.625768 	 0.379091 	 21.559052 	 2340434.179268 	 103423.050958 	 140219.101408 	 0.000089 	 15400.414286 	 5921.665311
20769805.531979 	 84220.416156 	 41097.815664 	 82892.811060 	 19657.583375 	 22721.140697 	 138.258381 	 100.471684 	 51596.553625 	 373.624620 	 350.897672 	 547.679696 	 0.671531 	 0.406210 	 23.386570 	 2341148.697082 	 104153.395516 	 141170.658481 	 0.000107 	 15400.414286 	 5921.665311
20765612.341279 	 84750.894796 	 41384.808157 	 83523.742150 	 19605.992617 	 23004.673999 	 138.464710 	 98.324282 	 51710.868763 	 373.096223 	 348.877416 	 550.270583 	 0.716386 	 0.432648 	 25.219761 	 2341865.252337 	 104883.643728 	 142122.380165 	 0.000126 	 15400.414286 	 5921.665311
20761404.424228 	 85281.460473 	 41671.745162 	 84154.465580 	 19554.196416 	 23289.287750 	 138.769077 	 96.331022 	 51836.674796 	 372.589506 	 346.794162 	 552.843764 	 0.760355 	 0.458413 	 27.058863 	 2342584.079139 	 105613.799734 	 143074.261562 	 0.000145 	 15400.414286 	 5921.665311
20757072.736925 	 85811.656826 	 41958.405632 	 84784.544063 	 19502.096843 	 23681.124772 	 139.702480 	 94.697690 	 51977.068083 	 372.125254 	 344.663156 	 555.402581 	 0.803457 	 0.483509 	 28.904132 	 2343305.422869 	 106343.863638 	 144026.298091 	 0.000170 	 15400.414286 	 5921.665311
20752739.154746 	 86341.977064 	 42245.032372 	 85414.474115 	 19449.813033 	 24055.899622 	 140.637147 	 93.169710 	 52133.649073 	 371.716520 	 342.496183 	 557.951139 	 0.845716 	 0.507946 	 30.755904 	 2344029.596925 	 107073.837224 	 144978.485558 	 0.000196 	 15400.414286 	 5921.665311
20748403.310138 	 86872.416131 	 42531.624531 	 86044.253908 	 19397.347995 	 24414.804879 	 141.574957 	 91.742743 	 52305.282564 	 371.362314 	 340.299062 	 560.493389 	 0.887156 	 0.531732 	 32.614517 	 2344756.908854 	 107803.725125 	 145930.820005 	 0.000221 	 15400.414286 	 5921.665311
20744064.860808 	 87402.969120 	 42818.181288 	 86673.881681 	 19344.704678 	 24758.950297 	 142.517598 	 90.412622 	 52490.912788 	 371.061754 	 338.077286 	 563.032945 	 0.927798 	 0.554877 	 34.480284 	 2345487.644616 	 108533.531888 	 146883.297672 	 0.000247 	 15400.414286 	 5921.665311
20739713.108123 	 87933.587255 	 43104.680276 	 87303.312104 	 19291.876329 	 25099.766076 	 143.520099 	 89.196865 	 52689.583879 	 370.814190 	 335.836091 	 565.573112 	 0.967667 	 0.577389 	 36.353503 	 2346222.070106 	 109263.261945 	 147835.914990 	 0.000273 	 15400.414286 	 5921.665311
20735264.564421 	 88463.909499 	 43390.946218 	 87932.197154 	 19238.789378 	 25518.736035 	 144.999625 	 88.259034 	 52903.380663 	 370.634377 	 333.586580 	 568.117182 	 1.006785 	 0.599278 	 38.234480 	 2346960.454050 	 109992.916615 	 148788.668625 	 0.000304 	 15400.414286 	 5921.665311
20730812.135520 	 88994.323473 	 43677.170708 	 88560.929634 	 19185.534006 	 25921.278196 	 146.466974 	 87.398534 	 53133.270520 	 370.531145 	 331.337176 	 570.668951 	 1.045176 	 0.620556 	 40.123577 	 2347703.111851 	 110722.498463 	 149741.555541 	 0.000335 	 15400.414286 	 5921.665311
20726355.412931 	 89524.824110 	 43963.352693 	 89189.507364 	 19132.112823 	 26308.594667 	 147.925030 	 86.612555 	 53378.151772 	 370.502448 	 329.091634 	 573.232028 	 1.082865 	 0.641234 	 42.021151 	 2348450.349616 	 111452.012201 	 150694.572879 	 0.000367 	 15400.414286 	 5921.665311
