S0 	 S1 	 S2 	 V1 	 V2 	 E0 	 E1 	 E2 	 I0 	 I1 	 I2 	 ICU0 	 ICU1 	 ICU2 	 D 	 R0 	 R1 	 R2 	 h 	 f1 	 f2 (first line is initial values + initially vaccianted)
3034710.394375 	 392837.771435 	 189789.261063 	 383324.855086 	 104249.316964 	 3342.964721 	 865.481473 	 836.269326 	 8184.499835 	 2118.937399 	 2047.418006 	 487.275693 	 0.000000 	 0.000000 	 0.000000 	 374406.655806 	 489770.300186 	 663028.598631 	 0.000000 	 2229032.583913 	 1095384.575682
3034710.394375 	 392837.771435 	 189789.261063 	 383324.855086 	 104249.316964 	 3342.964721 	 865.481473 	 836.269326 	 8184.499835 	 2118.937399 	 2047.418006 	 487.275693 	 0.000000 	 0.000000 	 0.000000 	 374406.655806 	 489770.300186 	 663028.598631 	 0.000000 	 79063.427570 	 30400.945564
3020551.956242 	 395537.725743 	 191257.063255 	 386557.556686 	 104005.983314 	 3270.202924 	 836.454377 	 800.524339 	 8186.778560 	 2119.195361 	 2047.417004 	 482.834856 	 1.888454 	 1.153997 	 17.847856 	 372822.077712 	 493588.060509 	 667915.278812 	 0.000000 	 79063.427570 	 30400.945564
3006394.564310 	 398238.965292 	 192724.824389 	 389789.493924 	 103761.294822 	 3200.716954 	 808.910322 	 766.562398 	 8185.490196 	 2118.048916 	 2045.691472 	 478.540262 	 3.714590 	 2.269667 	 35.672893 	 371236.760196 	 497405.156912 	 672803.322483 	 0.000000 	 79063.427570 	 30400.945564
2992238.245663 	 400941.466757 	 194192.546026 	 393020.667452 	 103515.278887 	 3134.320016 	 782.773003 	 734.295021 	 8180.862855 	 2115.597379 	 2042.361609 	 474.382254 	 5.479246 	 3.347329 	 53.471068 	 369650.642289 	 501221.592354 	 677692.670791 	 0.000000 	 79063.427570 	 30400.945564
2978083.025186 	 403645.207369 	 195660.229670 	 396251.077923 	 103267.962160 	 3070.836474 	 757.970048 	 703.638106 	 8173.111164 	 2111.934417 	 2037.540963 	 470.351804 	 7.183315 	 4.387356 	 71.238516 	 368063.666991 	 505037.370743 	 682583.267795 	 0.000000 	 79063.427570 	 30400.945564
2963928.120321 	 406350.054488 	 197127.823206 	 399480.617541 	 103019.342577 	 3011.013962 	 734.571017 	 674.565204 	 8162.438210 	 2107.148525 	 2031.336841 	 466.440472 	 8.827744 	 5.390174 	 88.971543 	 366475.781023 	 508852.496830 	 687475.060322 	 0.000000 	 79063.427570 	 30400.945564
2949759.105677 	 409053.980880 	 198594.355957 	 402707.352851 	 102768.946719 	 2970.618803 	 714.933078 	 647.939160 	 8149.521577 	 2101.396990 	 2023.879173 	 462.640617 	 10.413550 	 6.356256 	 106.666808 	 364886.933068 	 512666.960741 	 692367.998095 	 0.000006 	 79063.427570 	 30400.945564
2935591.342600 	 411759.046016 	 200060.839275 	 405933.360629 	 102517.335182 	 2931.741425 	 696.314513 	 622.651896 	 8134.896893 	 2094.813218 	 2015.284915 	 458.945913 	 11.941864 	 7.286138 	 124.321750 	 363297.085981 	 516480.757857 	 697262.033936 	 0.000011 	 79063.427570 	 30400.945564
2921424.840029 	 414465.227969 	 201527.273873 	 409158.640253 	 102264.531589 	 2894.299342 	 678.664033 	 598.637473 	 8118.671046 	 2087.462866 	 2005.641197 	 455.350583 	 13.413858 	 8.180389 	 141.934059 	 361706.210701 	 520293.897674 	 702157.123067 	 0.000016 	 79063.427570 	 30400.945564
