t 	 Rt 	 N 	 N_obs 	 Rt_TTI_corrected
63.000000 	 1.000000 	 18668.806822 	 18668.806822 	 1.355429
63.200000 	 1.000000 	 18536.346340 	 18668.806822 	 1.355429
63.400000 	 1.000000 	 18410.499470 	 18668.806822 	 1.355429
63.600000 	 1.000000 	 18290.836622 	 18668.806822 	 1.355429
63.800000 	 1.000000 	 18176.956297 	 18668.806822 	 1.355429
64.000000 	 1.200640 	 18076.438082 	 18668.806822 	 1.567846
64.200000 	 1.200640 	 18128.011792 	 18668.806822 	 1.567846
64.400000 	 1.200640 	 18176.849231 	 18668.806822 	 1.567846
64.600000 	 1.200640 	 18223.139542 	 18668.806822 	 1.567846
64.800000 	 1.200640 	 18267.058656 	 18668.806822 	 1.567846
65.000000 	 1.365310 	 18321.801279 	 18668.806822 	 1.742180
65.200000 	 1.365310 	 18488.274848 	 18668.806822 	 1.742180
65.400000 	 1.365310 	 18646.805866 	 18668.806822 	 1.742180
65.600000 	 1.365310 	 18797.961500 	 18668.806822 	 1.742180
65.800000 	 1.365310 	 18942.268834 	 18668.806822 	 1.742180
66.000000 	 1.495697 	 19090.556446 	 18668.806822 	 1.880221
66.200000 	 1.495697 	 19323.266489 	 18430.398823 	 1.881506
66.400000 	 1.495697 	 19545.811665 	 18430.398823 	 1.881506
66.600000 	 1.495697 	 19758.944006 	 18430.398823 	 1.881506
66.800000 	 1.495697 	 19963.361521 	 18430.398823 	 1.881506
67.000000 	 1.594485 	 20167.596989 	 18430.398823 	 1.986130
67.200000 	 1.594485 	 20433.299946 	 18539.780486 	 1.985523
67.400000 	 1.594485 	 20688.609307 	 18539.780486 	 1.985523
67.600000 	 1.594485 	 20934.321427 	 18539.780486 	 1.985523
67.800000 	 1.594485 	 21171.174791 	 18539.780486 	 1.985523
68.000000 	 1.665107 	 21405.558127 	 18539.780486 	 2.060305
68.200000 	 1.665107 	 21682.301949 	 19103.764460 	 2.057107
68.400000 	 1.665107 	 21949.635508 	 19103.764460 	 2.057107
68.600000 	 1.665107 	 22208.306954 	 19103.764460 	 2.057107
68.800000 	 1.665107 	 22459.009686 	 19103.764460 	 2.057107
69.000000 	 1.711473 	 22706.195032 	 19103.764460 	 2.106162
69.200000 	 1.711473 	 22979.989477 	 19960.122828 	 2.101241
69.400000 	 1.711473 	 23245.999150 	 19960.122828 	 2.101241
69.600000 	 1.711473 	 23504.870008 	 19960.122828 	 2.101241
69.800000 	 1.711473 	 23757.200589 	 19960.122828 	 2.101241
70.000000 	 1.737668 	 24005.743649 	 19960.122828 	 2.128918
70.200000 	 1.737668 	 24268.047084 	 21082.475171 	 2.122421
70.400000 	 1.737668 	 24524.411982 	 21082.475171 	 2.122421
70.600000 	 1.737668 	 24775.357686 	 21082.475171 	 2.122421
70.800000 	 1.737668 	 25021.365348 	 21082.475171 	 2.122421
71.000000 	 1.747687 	 25263.742622 	 21082.475171 	 2.132988
71.200000 	 1.747687 	 25509.591702 	 22318.931337 	 2.125810
71.400000 	 1.747687 	 25751.392355 	 22318.931337 	 2.125810
71.600000 	 1.747687 	 25989.528993 	 22318.931337 	 2.125810
71.800000 	 1.747687 	 26224.357848 	 22318.931337 	 2.125810
72.000000 	 1.745231 	 26455.991958 	 22318.931337 	 2.123226
72.200000 	 1.745231 	 26683.051803 	 23588.931423 	 2.115858
72.400000 	 1.745231 	 26907.811437 	 23588.931423 	 2.115858
72.600000 	 1.745231 	 27130.526408 	 23588.931423 	 2.115858
72.800000 	 1.745231 	 27351.433650 	 23588.931423 	 2.115858
73.000000 	 1.733583 	 27569.692256 	 23588.931423 	 2.103620
73.200000 	 1.733583 	 27777.270224 	 24840.363534 	 2.096385
73.400000 	 1.733583 	 27984.079497 	 24840.363534 	 2.096385
73.600000 	 1.733583 	 28190.259759 	 24840.363534 	 2.096385
73.800000 	 1.733583 	 28395.940663 	 24840.363534 	 2.096385
74.000000 	 1.715532 	 28599.548308 	 24840.363534 	 2.077456
74.200000 	 1.715532 	 28788.037248 	 26041.018889 	 2.070549
74.400000 	 1.715532 	 28977.042777 	 26041.018889 	 2.070549
74.600000 	 1.715532 	 29166.605070 	 26041.018889 	 2.070549
74.800000 	 1.715532 	 29356.761603 	 26041.018889 	 2.070549
75.000000 	 1.693359 	 29545.401480 	 26041.018889 	 2.047342
75.200000 	 1.693359 	 29715.893182 	 27172.392738 	 2.040875
75.400000 	 1.693359 	 29887.939132 	 27172.392738 	 2.040875
75.600000 	 1.693359 	 30061.497335 	 27172.392738 	 2.040875
75.800000 	 1.693359 	 30236.529099 	 27172.392738 	 2.040875
76.000000 	 1.668866 	 30410.555013 	 27172.392738 	 2.015285
76.200000 	 1.668866 	 30564.565865 	 28225.279139 	 2.009308
76.400000 	 1.668866 	 30720.936028 	 28225.279139 	 2.009308
76.600000 	 1.668866 	 30879.558168 	 28225.279139 	 2.009308
76.800000 	 1.668866 	 31040.332982 	 28225.279139 	 2.009308
77.000000 	 1.643424 	 31200.553048 	 28225.279139 	 1.982771
77.200000 	 1.643424 	 31339.804408 	 29196.838526 	 1.977296
77.400000 	 1.643424 	 31481.975413 	 29196.838526 	 1.977296
77.600000 	 1.643424 	 31626.910125 	 29196.838526 	 1.977296
77.800000 	 1.643424 	 31774.464061 	 29196.838526 	 1.977296
78.000000 	 1.618037 	 31921.816883 	 29196.838526 	 1.950857
78.200000 	 1.618037 	 32047.989374 	 30088.508298 	 1.945869
78.400000 	 1.618037 	 32177.501847 	 30088.508298 	 1.945869
78.600000 	 1.618037 	 32310.161545 	 30088.508298 	 1.945869
78.800000 	 1.618037 	 32445.789770 	 30088.508298 	 1.945869
79.000000 	 1.593409 	 32581.541060 	 30088.508298 	 1.920256
79.200000 	 1.593409 	 32696.462046 	 30904.463775 	 1.915725
79.400000 	 1.593409 	 32814.987528 	 30904.463775 	 1.915725
79.600000 	 1.593409 	 32936.899843 	 30904.463775 	 1.915725
79.800000 	 1.593409 	 33061.997107 	 30904.463775 	 1.915725
80.000000 	 1.570006 	 33187.476878 	 30904.463775 	 1.891417
80.200000 	 1.570006 	 33292.870859 	 31650.387867 	 1.887304
80.400000 	 1.570006 	 33402.005929 	 31650.387867 	 1.887304
80.600000 	 1.570006 	 33514.649390 	 31650.387867 	 1.887304
80.800000 	 1.570006 	 33630.585331 	 31650.387867 	 1.887304
81.000000 	 1.548113 	 33747.104013 	 31650.387867 	 1.864590
81.200000 	 1.548113 	 33844.549593 	 32333.044996 	 1.860850
81.400000 	 1.548113 	 33945.770320 	 32333.044996 	 1.860850
81.600000 	 1.548113 	 34050.526455 	 32333.044996 	 1.860850
81.800000 	 1.548113 	 34158.595468 	 32333.044996 	 1.860850
82.000000 	 1.527874 	 34267.394528 	 32333.044996 	 1.839876
82.200000 	 1.527874 	 34358.298296 	 32959.734123 	 1.836463
82.400000 	 1.527874 	 34452.931292 	 32959.734123 	 1.836463
82.600000 	 1.527874 	 34551.053016 	 32959.734123 	 1.836463
82.800000 	 1.527874 	 34652.440168 	 32959.734123 	 1.836463
83.000000 	 1.509334 	 34754.658450 	 32959.734123 	 1.817269
83.200000 	 1.509334 	 34840.243225 	 33537.737549 	 1.814138
83.400000 	 1.509334 	 34929.450921 	 33537.737549 	 1.814138
83.600000 	 1.509334 	 35022.045089 	 33537.737549 	 1.814138
83.800000 	 1.509334 	 35117.806123 	 33537.737549 	 1.814138
84.000000 	 1.492468 	 35214.459958 	 33537.737549 	 1.796692
84.200000 	 1.492468 	 35295.743264 	 34074.033179 	 1.793803
84.400000 	 1.492468 	 35380.460054 	 34074.033179 	 1.793803
84.600000 	 1.492468 	 35468.382997 	 34074.033179 	 1.793803
84.800000 	 1.492468 	 35559.300865 	 34074.033179 	 1.793803
85.000000 	 1.477201 	 35651.105435 	 34074.033179 	 1.778025
85.200000 	 1.477201 	 35728.790745 	 34575.046791 	 1.775338
85.400000 	 1.477201 	 35809.736412 	 34575.046791 	 1.775338
85.600000 	 1.477201 	 35893.724554 	 34575.046791 	 1.775338
85.800000 	 1.477201 	 35980.552679 	 34575.046791 	 1.775338
86.000000 	 1.463435 	 36068.275233 	 34575.046791 	 1.761122
86.200000 	 1.463435 	 36143.094477 	 35046.445475 	 1.758604
86.400000 	 1.463435 	 36220.979784 	 35046.445475 	 1.758604
86.600000 	 1.463435 	 36301.724556 	 35046.445475 	 1.758604
86.800000 	 1.463435 	 36385.136751 	 35046.445475 	 1.758604
87.000000 	 1.451055 	 36469.428789 	 35046.445475 	 1.745829
87.200000 	 1.451055 	 36541.963327 	 35492.898003 	 1.743454
87.400000 	 1.451055 	 36617.358270 	 35492.898003 	 1.743454
