S0 	 S1 	 S2 	 V1 	 V2 	 E0 	 E1 	 E2 	 I0 	 I1 	 I2 	 ICU0 	 ICU1 	 ICU2 	 D 	 R0 	 R1 	 R2 	 f1 	 f2 (first line is initial values + initially vaccianted)
13695981.045185 	 0.000000 	 0.000000 	 0.000000 	 0.000000 	 13634.124955 	 0.000000 	 0.000000 	 33380.099028 	 0.000000 	 0.000000 	 4.730832 	 0.000000 	 0.000000 	 0.000000 	 1527000.000000 	 0.000000 	 0.000000 	 0.000000 	 0.000000
13695981.045185 	 0.000000 	 0.000000 	 0.000000 	 0.000000 	 13634.124955 	 0.000000 	 0.000000 	 33380.099028 	 0.000000 	 0.000000 	 4.730832 	 0.000000 	 0.000000 	 0.000000 	 1527000.000000 	 0.000000 	 0.000000 	 0.000000 	 0.000000
13695379.406622 	 0.000000 	 0.000000 	 0.000000 	 0.000000 	 13553.365106 	 0.000000 	 0.000000 	 33394.735203 	 0.000000 	 0.000000 	 4.636974 	 0.000000 	 0.000000 	 0.018563 	 1527667.837532 	 0.000000 	 0.000000 	 0.000000 	 0.000000
13694777.581104 	 0.000000 	 0.000000 	 0.000000 	 0.000000 	 13476.726089 	 0.000000 	 0.000000 	 33405.187100 	 0.000000 	 0.000000 	 4.546831 	 0.000000 	 0.000000 	 0.037029 	 1528335.921847 	 0.000000 	 0.000000 	 0.000000 	 0.000000
13694175.650898 	 0.000000 	 0.000000 	 0.000000 	 0.000000 	 13403.926710 	 0.000000 	 0.000000 	 33411.734503 	 0.000000 	 0.000000 	 4.460246 	 0.000000 	 0.000000 	 0.055400 	 1529004.172243 	 0.000000 	 0.000000 	 0.000000 	 0.000000
13693573.692808 	 0.000000 	 0.000000 	 0.000000 	 0.000000 	 13334.704811 	 0.000000 	 0.000000 	 33414.638216 	 0.000000 	 0.000000 	 4.377068 	 0.000000 	 0.000000 	 0.073679 	 1529672.513417 	 0.000000 	 0.000000 	 0.000000 	 0.000000
13692966.796081 	 0.000000 	 0.000000 	 0.000000 	 0.000000 	 13273.792233 	 0.000000 	 0.000000 	 33414.147567 	 0.000000 	 0.000000 	 4.297156 	 0.000000 	 0.000000 	 0.091867 	 1530340.875096 	 0.000000 	 0.000000 	 0.000000 	 0.000000
13692265.338276 	 0.000000 	 0.000000 	 0.000000 	 0.000000 	 13307.970042 	 0.000000 	 0.000000 	 33413.150778 	 0.000000 	 0.000000 	 4.220373 	 0.000000 	 0.000000 	 0.109968 	 1531009.210563 	 0.000000 	 0.000000 	 0.000000 	 0.000000
13691563.984871 	 0.000000 	 0.000000 	 0.000000 	 0.000000 	 13340.379382 	 0.000000 	 0.000000 	 33413.821119 	 0.000000 	 0.000000 	 4.146601 	 0.000000 	 0.000000 	 0.127985 	 1531677.540042 	 0.000000 	 0.000000 	 0.000000 	 0.000000
13690862.712356 	 0.000000 	 0.000000 	 0.000000 	 0.000000 	 13371.129428 	 0.000000 	 0.000000 	 33416.040774 	 0.000000 	 0.000000 	 4.075725 	 0.000000 	 0.000000 	 0.145923 	 1532345.895794 	 0.000000 	 0.000000 	 0.000000 	 0.000000
13690161.498953 	 0.000000 	 0.000000 	 0.000000 	 0.000000 	 13400.322339 	 0.000000 	 0.000000 	 33419.699491 	 0.000000 	 0.000000 	 4.007637 	 0.000000 	 0.000000 	 0.163784 	 1533014.307797 	 0.000000 	 0.000000 	 0.000000 	 0.000000
13689452.663374 	 0.000000 	 0.000000 	 0.000000 	 0.000000 	 13435.695723 	 0.000000 	 0.000000 	 33424.713197 	 0.000000 	 0.000000 	 3.942230 	 0.000000 	 0.000000 	 0.181573 	 1533682.803904 	 0.000000 	 0.000000 	 0.000000 	 0.000000
13688674.882500 	 0.000000 	 0.000000 	 0.000000 	 0.000000 	 13536.425108 	 0.000000 	 0.000000 	 33433.187107 	 0.000000 	 0.000000 	 3.879406 	 0.000000 	 0.000000 	 0.199293 	 1534351.426586 	 0.000000 	 0.000000 	 0.000000 	 0.000000
13687897.017706 	 0.000000 	 0.000000 	 0.000000 	 0.000000 	 13632.324275 	 0.000000 	 0.000000 	 33446.358146 	 0.000000 	 0.000000 	 3.819075 	 0.000000 	 0.000000 	 0.216948 	 1535020.263850 	 0.000000 	 0.000000 	 0.000000 	 0.000000
13687118.973501 	 0.000000 	 0.000000 	 0.000000 	 0.000000 	 13723.721908 	 0.000000 	 0.000000 	 33463.902452 	 0.000000 	 0.000000 	 3.761151 	 0.000000 	 0.000000 	 0.234545 	 1535689.406443 	 0.000000 	 0.000000 	 0.000000 	 0.000000
13686340.661018 	 0.000000 	 0.000000 	 0.000000 	 0.000000 	 13810.924207 	 0.000000 	 0.000000 	 33485.518279 	 0.000000 	 0.000000 	 3.705553 	 0.000000 	 0.000000 	 0.252086 	 1536358.938857 	 0.000000 	 0.000000 	 0.000000 	 0.000000
13685556.353481 	 0.000000 	 0.000000 	 0.000000 	 0.000000 	 13899.846413 	 0.000000 	 0.000000 	 33510.938567 	 0.000000 	 0.000000 	 3.652200 	 0.000000 	 0.000000 	 0.269576 	 1537028.939764 	 0.000000 	 0.000000 	 0.000000 	 0.000000
13684720.790411 	 0.000000 	 0.000000 	 0.000000 	 0.000000 	 14034.303122 	 0.000000 	 0.000000 	 33541.523783 	 0.000000 	 0.000000 	 3.601014 	 0.000000 	 0.000000 	 0.287019 	 1537699.494651 	 0.000000 	 0.000000 	 0.000000 	 0.000000
13683884.622509 	 0.000000 	 0.000000 	 0.000000 	 0.000000 	 14162.792982 	 0.000000 	 0.000000 	 33578.009272 	 0.000000 	 0.000000 	 3.551929 	 0.000000 	 0.000000 	 0.304419 	 1538370.718888 	 0.000000 	 0.000000 	 0.000000 	 0.000000
13683047.716790 	 0.000000 	 0.000000 	 0.000000 	 0.000000 	 14285.736678 	 0.000000 	 0.000000 	 33619.993394 	 0.000000 	 0.000000 	 3.504875 	 0.000000 	 0.000000 	 0.321782 	 1539042.726481 	 0.000000 	 0.000000 	 0.000000 	 0.000000
13682209.949335 	 0.000000 	 0.000000 	 0.000000 	 0.000000 	 14403.525535 	 0.000000 	 0.000000 	 33667.102549 	 0.000000 	 0.000000 	 3.459789 	 0.000000 	 0.000000 	 0.339111 	 1539715.623681 	 0.000000 	 0.000000 	 0.000000 	 0.000000
13681367.258449 	 0.000000 	 0.000000 	 0.000000 	 0.000000 	 14520.459931 	 0.000000 	 0.000000 	 33718.999062 	 0.000000 	 0.000000 	 3.416607 	 0.000000 	 0.000000 	 0.356412 	 1540389.509540 	 0.000000 	 0.000000 	 0.000000 	 0.000000
13680487.928402 	 0.000000 	 0.000000 	 0.000000 	 0.000000 	 14667.343363 	 0.000000 	 0.000000 	 33776.494316 	 0.000000 	 0.000000 	 3.375268 	 0.000000 	 0.000000 	 0.373687 	 1541064.484964 	 0.000000 	 0.000000 	 0.000000 	 0.000000
13679607.306794 	 0.000000 	 0.000000 	 0.000000 	 0.000000 	 14808.323782 	 0.000000 	 0.000000 	 33839.973695 	 0.000000 	 0.000000 	 3.335716 	 0.000000 	 0.000000 	 0.390941 	 1541740.669073 	 0.000000 	 0.000000 	 0.000000 	 0.000000
13678725.250599 	 0.000000 	 0.000000 	 0.000000 	 0.000000 	 14943.828550 	 0.000000 	 0.000000 	 33909.037227 	 0.000000 	 0.000000 	 3.297896 	 0.000000 	 0.000000 	 0.408179 	 1542418.177549 	 0.000000 	 0.000000 	 0.000000 	 0.000000
13677841.626352 	 0.000000 	 0.000000 	 0.000000 	 0.000000 	 15074.254864 	 0.000000 	 0.000000 	 33983.313258 	 0.000000 	 0.000000 	 3.261757 	 0.000000 	 0.000000 	 0.425404 	 1543097.118365 	 0.000000 	 0.000000 	 0.000000 	 0.000000
13676953.746037 	 0.000000 	 0.000000 	 0.000000 	 0.000000 	 15202.528923 	 0.000000 	 0.000000 	 34062.462845 	 0.000000 	 0.000000 	 3.227245 	 0.000000 	 0.000000 	 0.442621 	 1543777.592329 	 0.000000 	 0.000000 	 0.000000 	 0.000000
13676040.950177 	 0.000000 	 0.000000 	 0.000000 	 0.000000 	 15348.794185 	 0.000000 	 0.000000 	 34146.902344 	 0.000000 	 0.000000 	 3.194311 	 0.000000 	 0.000000 	 0.459833 	 1544459.699151 	 0.000000 	 0.000000 	 0.000000 	 0.000000
13675126.147349 	 0.000000 	 0.000000 	 0.000000 	 0.000000 	 15489.884367 	 0.000000 	 0.000000 	 34236.780087 	 0.000000 	 0.000000 	 3.162908 	 0.000000 	 0.000000 	 0.477044 	 1545143.548245 	 0.000000 	 0.000000 	 0.000000 	 0.000000
13674209.202944 	 0.000000 	 0.000000 	 0.000000 	 0.000000 	 15626.183126 	 0.000000 	 0.000000 	 34331.741849 	 0.000000 	 0.000000 	 3.132989 	 0.000000 	 0.000000 	 0.494257 	 1545829.244834 	 0.000000 	 0.000000 	 0.000000 	 0.000000
13673289.991109 	 0.000000 	 0.000000 	 0.000000 	 0.000000 	 15758.046867 	 0.000000 	 0.000000 	 34431.458725 	 0.000000 	 0.000000 	 3.104511 	 0.000000 	 0.000000 	 0.511478 	 1546516.887310 	 0.000000 	 0.000000 	 0.000000 	 0.000000
13672366.923694 	 0.000000 	 0.000000 	 0.000000 	 0.000000 	 15887.273441 	 0.000000 	 0.000000 	 34535.628999 	 0.000000 	 0.000000 	 3.077430 	 0.000000 	 0.000000 	 0.528708 	 1547206.567727 	 0.000000 	 0.000000 	 0.000000 	 0.000000
13671428.101268 	 0.000000 	 0.000000 	 0.000000 	 0.000000 	 16025.533517 	 0.000000 	 0.000000 	 34644.392116 	 0.000000 	 0.000000 	 3.051703 	 0.000000 	 0.000000 	 0.545952 	 1547898.375444 	 0.000000 	 0.000000 	 0.000000 	 0.000000
13670486.619207 	 0.000000 	 0.000000 	 0.000000 	 0.000000 	 16159.645476 	 0.000000 	 0.000000 	 34757.741340 	 0.000000 	 0.000000 	 3.027289 	 0.000000 	 0.000000 	 0.563212 	 1548592.403476 	 0.000000 	 0.000000 	 0.000000 	 0.000000
13669542.361753 	 0.000000 	 0.000000 	 0.000000 	 0.000000 	 16289.924507 	 0.000000 	 0.000000 	 34875.388436 	 0.000000 	 0.000000 	 3.004150 	 0.000000 	 0.000000 	 0.580492 	 1549288.740662 	 0.000000 	 0.000000 	 0.000000 	 0.000000
13668595.220404 	 0.000000 	 0.000000 	 0.000000 	 0.000000 	 16416.663350 	 0.000000 	 0.000000 	 34997.065917 	 0.000000 	 0.000000 	 2.982247 	 0.000000 	 0.000000 	 0.597794 	 1549987.470289 	 0.000000 	 0.000000 	 0.000000 	 0.000000
13667644.461848 	 0.000000 	 0.000000 	 0.000000 	 0.000000 	 16540.763868 	 0.000000 	 0.000000 	 35122.527133 	 0.000000 	 0.000000 	 2.961541 	 0.000000 	 0.000000 	 0.615123 	 1550688.670487 	 0.000000 	 0.000000 	 0.000000 	 0.000000
13666684.925239 	 0.000000 	 0.000000 	 0.000000 	 0.000000 	 16667.360859 	 0.000000 	 0.000000 	 35251.723450 	 0.000000 	 0.000000 	 2.941998 	 0.000000 	 0.000000 	 0.632480 	 1551392.415975 	 0.000000 	 0.000000 	 0.000000 	 0.000000
13665722.188205 	 0.000000 	 0.000000 	 0.000000 	 0.000000 	 16790.905948 	 0.000000 	 0.000000 	 35384.551449 	 0.000000 	 0.000000 	 2.923580 	 0.000000 	 0.000000 	 0.649868 	 1552098.780950 	 0.000000 	 0.000000 	 0.000000 	 0.000000
13664756.158329 	 0.000000 	 0.000000 	 0.000000 	 0.000000 	 16911.638099 	 0.000000 	 0.000000 	 35520.794147 	 0.000000 	 0.000000 	 2.906253 	 0.000000 	 0.000000 	 0.667290 	 1552807.835882 	 0.000000 	 0.000000 	 0.000000 	 0.000000
13663786.748741 	 0.000000 	 0.000000 	 0.000000 	 0.000000 	 17029.779214 	 0.000000 	 0.000000 	 35660.250254 	 0.000000 	 0.000000 	 2.889985 	 0.000000 	 0.000000 	 0.684749 	 1553519.647058 	 0.000000 	 0.000000 	 0.000000 	 0.000000
13662813.869900 	 0.000000 	 0.000000 	 0.000000 	 0.000000 	 17145.543152 	 0.000000 	 0.000000 	 35802.733074 	 0.000000 	 0.000000 	 2.874741 	 0.000000 	 0.000000 	 0.702247 	 1554234.276887 	 0.000000 	 0.000000 	 0.000000 	 0.000000
13661837.382158 	 0.000000 	 0.000000 	 0.000000 	 0.000000 	 17259.181700 	 0.000000 	 0.000000 	 35948.071669 	 0.000000 	 0.000000 	 2.860490 	 0.000000 	 0.000000 	 0.719785 	 1554951.784197 	 0.000000 	 0.000000 	 0.000000 	 0.000000
13660857.283102 	 0.000000 	 0.000000 	 0.000000 	 0.000000 	 17370.801026 	 0.000000 	 0.000000 	 36096.106777 	 0.000000 	 0.000000 	 2.847201 	 0.000000 	 0.000000 	 0.737367 	 1555672.224527 	 0.000000 	 0.000000 	 0.000000 	 0.000000
13659873.504213 	 0.000000 	 0.000000 	 0.000000 	 0.000000 	 17480.566425 	 0.000000 	 0.000000 	 36246.689200 	 0.000000 	 0.000000 	 2.834842 	 0.000000 	 0.000000 	 0.754995 	 1556395.650324 	 0.000000 	 0.000000 	 0.000000 	 0.000000
13658885.980791 	 0.000000 	 0.000000 	 0.000000 	 0.000000 	 17588.631411 	 0.000000 	 0.000000 	 36399.680579 	 0.000000 	 0.000000 	 2.823385 	 0.000000 	 0.000000 	 0.772670 	 1557122.111164 	 0.000000 	 0.000000 	 0.000000 	 0.000000
13657895.090469 	 0.000000 	 0.000000 	 0.000000 	 0.000000 	 17694.700858 	 0.000000 	 0.000000 	 36554.951526 	 0.000000 	 0.000000 	 2.812800 	 0.000000 	 0.000000 	 0.790395 	 1557851.653952 	 0.000000 	 0.000000 	 0.000000 	 0.000000
