t 	 H 	 Rt 	 N 	 N_obs 	 Rt_TTI_corrected
63.000000 	 0.001530 	 1.000000 	 18668.536854 	 18668.536854 	 1.355111
63.200000 	 0.001530 	 1.000000 	 18542.434429 	 18668.536854 	 1.355111
63.400000 	 0.001530 	 1.000000 	 18422.611354 	 18668.536854 	 1.355111
63.600000 	 0.001530 	 1.000000 	 18308.654110 	 18668.536854 	 1.355111
63.800000 	 0.001530 	 1.000000 	 18200.176506 	 18668.536854 	 1.355111
64.000000 	 0.001531 	 1.166319 	 18103.465184 	 18668.536854 	 1.531173
64.200000 	 0.001538 	 1.166319 	 18134.400785 	 18668.536854 	 1.531173
64.400000 	 0.001545 	 1.166319 	 18163.558875 	 18668.536854 	 1.531173
64.600000 	 0.001553 	 1.166319 	 18191.056788 	 18668.536854 	 1.531173
64.800000 	 0.001560 	 1.166319 	 18217.003871 	 18668.536854 	 1.531173
65.000000 	 0.001568 	 1.294253 	 18251.702921 	 18668.536854 	 1.666601
65.200000 	 0.001581 	 1.294253 	 18374.111661 	 18668.536854 	 1.666601
65.400000 	 0.001594 	 1.294253 	 18490.512869 	 18668.536854 	 1.666601
65.600000 	 0.001607 	 1.294253 	 18601.323744 	 18668.536854 	 1.666601
65.800000 	 0.001619 	 1.294253 	 18706.932468 	 18668.536854 	 1.666601
66.000000 	 0.001633 	 1.388373 	 18815.209930 	 18668.536854 	 1.766235
66.200000 	 0.001650 	 1.388373 	 18984.575047 	 18420.487608 	 1.767534
66.400000 	 0.001667 	 1.388373 	 19146.309299 	 18420.487608 	 1.767534
66.600000 	 0.001684 	 1.388373 	 19300.957522 	 18420.487608 	 1.767534
66.800000 	 0.001702 	 1.388373 	 19449.026114 	 18420.487608 	 1.767534
67.000000 	 0.001719 	 1.453871 	 19596.232549 	 18420.487608 	 1.836895
67.200000 	 0.001740 	 1.453871 	 19783.616974 	 18448.951992 	 1.836743
67.400000 	 0.001760 	 1.453871 	 19963.375523 	 18448.951992 	 1.836743
67.600000 	 0.001781 	 1.453871 	 20136.065447 	 18448.951992 	 1.836743
67.800000 	 0.001801 	 1.453871 	 20302.204320 	 18448.951992 	 1.836743
68.000000 	 0.001822 	 1.496060 	 20465.678669 	 18448.951992 	 1.881419
68.200000 	 0.001845 	 1.496060 	 20653.305076 	 18841.164204 	 1.879295
68.400000 	 0.001868 	 1.496060 	 20834.215397 	 18841.164204 	 1.879295
68.600000 	 0.001891 	 1.496060 	 21008.911183 	 18841.164204 	 1.879295
68.800000 	 0.001915 	 1.496060 	 21177.858078 	 18841.164204 	 1.879295
69.000000 	 0.001938 	 1.519972 	 21343.440593 	 18841.164204 	 1.904601
69.200000 	 0.001963 	 1.519972 	 21521.182417 	 19440.206336 	 1.901335
69.400000 	 0.001988 	 1.519972 	 21693.530387 	 19440.206336 	 1.901335
69.600000 	 0.002013 	 1.519972 	 21860.896736 	 19440.206336 	 1.901335
69.800000 	 0.002038 	 1.519972 	 22023.664110 	 19440.206336 	 1.901335
70.000000 	 0.002064 	 1.530089 	 22183.025535 	 19440.206336 	 1.912032
70.200000 	 0.002090 	 1.530089 	 22345.780986 	 20226.092021 	 1.907734
70.400000 	 0.002117 	 1.530089 	 22504.528481 	 20226.092021 	 1.907734
70.600000 	 0.002144 	 1.530089 	 22659.581837 	 20226.092021 	 1.907734
70.800000 	 0.002171 	 1.530089 	 22811.232315 	 20226.092021 	 1.907734
71.000000 	 0.002198 	 1.530213 	 22959.760602 	 20226.092021 	 1.907864
71.200000 	 0.002218 	 1.530213 	 23105.497888 	 21066.115203 	 1.903269
71.400000 	 0.002239 	 1.530213 	 23248.581977 	 21066.115203 	 1.903269
71.600000 	 0.002259 	 1.530213 	 23389.229362 	 21066.115203 	 1.903269
71.800000 	 0.002281 	 1.530213 	 23527.640990 	 21066.115203 	 1.903269
72.000000 	 0.002302 	 1.523433 	 23663.422274 	 21066.115203 	 1.896118
72.200000 	 0.002317 	 1.523433 	 23792.241378 	 21896.811024 	 1.891584
72.400000 	 0.002333 	 1.523433 	 23919.592422 	 21896.811024 	 1.891584
72.600000 	 0.002350 	 1.523433 	 24045.605445 	 21896.811024 	 1.891584
72.800000 	 0.002366 	 1.523433 	 24170.401163 	 21896.811024 	 1.891584
73.000000 	 0.002383 	 1.512183 	 24293.108945 	 21896.811024 	 1.879735
73.200000 	 0.002395 	 1.512183 	 24406.213829 	 22681.969747 	 1.875463
73.400000 	 0.002408 	 1.512183 	 24518.831333 	 22681.969747 	 1.875463
73.600000 	 0.002421 	 1.512183 	 24631.019076 	 22681.969747 	 1.875463
73.800000 	 0.002434 	 1.512183 	 24742.830557 	 22681.969747 	 1.875463
74.000000 	 0.002447 	 1.498314 	 24853.080163 	 22681.969747 	 1.860873
