t 	 Rt 	 N 	 N_obs 	 Rt_TTI_corrected
63.000000 	 1.000000 	 18668.806822 	 18668.806822 	 1.355429
63.200000 	 1.000000 	 18536.346340 	 18668.806822 	 1.355429
63.400000 	 1.000000 	 18410.499470 	 18668.806822 	 1.355429
63.600000 	 1.000000 	 18290.836622 	 18668.806822 	 1.355429
63.800000 	 1.000000 	 18176.956297 	 18668.806822 	 1.355429
64.000000 	 1.018891 	 18069.232231 	 18668.806822 	 1.375429
64.200000 	 1.018891 	 17980.408404 	 18668.806822 	 1.375429
64.400000 	 1.018891 	 17895.608243 	 18668.806822 	 1.375429
64.600000 	 1.018891 	 17814.570036 	 18668.806822 	 1.375429
64.800000 	 1.018891 	 17737.049194 	 18668.806822 	 1.375429
65.000000 	 1.037782 	 17664.309479 	 18668.806822 	 1.395429
65.200000 	 1.037782 	 17607.669520 	 18668.806822 	 1.395429
65.400000 	 1.037782 	 17553.199348 	 18668.806822 	 1.395429
65.600000 	 1.037782 	 17500.757738 	 18668.806822 	 1.395429
65.800000 	 1.037782 	 17450.212686 	 18668.806822 	 1.395429
66.000000 	 1.056674 	 17402.927194 	 18668.806822 	 1.415429
66.200000 	 1.056674 	 17370.270583 	 18268.715313 	 1.417300
66.400000 	 1.056674 	 17338.458790 	 18268.715313 	 1.417300
66.600000 	 1.056674 	 17307.436951 	 18268.715313 	 1.417300
66.800000 	 1.056674 	 17277.153724 	 18268.715313 	 1.417300
67.000000 	 1.075553 	 17249.039548 	 18268.715313 	 1.437300
67.200000 	 1.075553 	 17234.472421 	 17862.031344 	 1.439213
67.400000 	 1.075553 	 17219.806759 	 17862.031344 	 1.439213
67.600000 	 1.075553 	 17205.049379 	 17862.031344 	 1.439213
67.800000 	 1.075553 	 17190.206538 	 17862.031344 	 1.439213
68.000000 	 1.093215 	 17176.660344 	 17862.031344 	 1.457935
68.200000 	 1.093215 	 17175.050198 	 17578.122263 	 1.459280
68.400000 	 1.093215 	 17172.717309 	 17578.122263 	 1.459280
68.600000 	 1.093215 	 17169.709426 	 17578.122263 	 1.459280
68.800000 	 1.093215 	 17166.071011 	 17578.122263 	 1.459280
69.000000 	 1.109191 	 17163.082578 	 17578.122263 	 1.476222
69.200000 	 1.109191 	 17170.356820 	 17345.755643 	 1.477328
69.400000 	 1.109191 	 17176.529456 	 17345.755643 	 1.477328
69.600000 	 1.109191 	 17181.673119 	 17345.755643 	 1.477328
69.800000 	 1.109191 	 17185.855487 	 17345.755643 	 1.477328
70.000000 	 1.123631 	 17190.254777 	 17345.755643 	 1.492646
70.200000 	 1.123631 	 17203.534416 	 17236.037434 	 1.493171
70.400000 	 1.123631 	 17215.482853 	 17236.037434 	 1.493171
70.600000 	 1.123631 	 17226.187494 	 17236.037434 	 1.493171
70.800000 	 1.123631 	 17235.729784 	 17236.037434 	 1.493171
71.000000 	 1.130067 	 17244.680758 	 17236.037434 	 1.500000
71.200000 	 1.130067 	 17256.937497 	 17194.231531 	 1.500200
71.400000 	 1.130067 	 17268.010901 	 17194.231531 	 1.500200
71.600000 	 1.130067 	 17277.978089 	 17194.231531 	 1.500200
71.800000 	 1.130067 	 17286.910924 	 17194.231531 	 1.500200
72.000000 	 1.129878 	 17294.861886 	 17194.231531 	 1.500000
72.200000 	 1.129878 	 17301.781420 	 17200.962777 	 1.499968
72.400000 	 1.129878 	 17307.860930 	 17200.962777 	 1.499968
72.600000 	 1.129878 	 17313.154140 	 17200.962777 	 1.499968
72.800000 	 1.129878 	 17317.711110 	 17200.962777 	 1.499968
73.000000 	 1.129908 	 17321.580813 	 17200.962777 	 1.500000
73.200000 	 1.129908 	 17324.824691 	 17235.737888 	 1.499833
73.400000 	 1.129908 	 17327.461854 	 17235.737888 	 1.499833
73.600000 	 1.129908 	 17329.530118 	 17235.737888 	 1.499833
73.800000 	 1.129908 	 17331.064718 	 17235.737888 	 1.499833
74.000000 	 1.130065 	 17332.110475 	 17235.737888 	 1.500000
74.200000 	 1.130065 	 17332.790609 	 17275.382897 	 1.499810
74.400000 	 1.130065 	 17333.023391 	 17275.382897 	 1.499810
74.600000 	 1.130065 	 17332.835765 	 17275.382897 	 1.499810
74.800000 	 1.130065 	 17332.252837 	 17275.382897 	 1.499810
75.000000 	 1.130244 	 17331.311635 	 17275.382897 	 1.500000
75.200000 	 1.130244 	 17330.139319 	 17305.514526 	 1.499856
75.400000 	 1.130244 	 17328.630815 	 17305.514526 	 1.499856
75.600000 	 1.130244 	 17326.805486 	 17305.514526 	 1.499856
75.800000 	 1.130244 	 17324.681373 	 17305.514526 	 1.499856
76.000000 	 1.130381 	 17322.285628 	 17305.514526 	 1.500000
76.200000 	 1.130381 	 17319.713820 	 17322.591737 	 1.499918
76.400000 	 1.130381 	 17316.885464 	 17322.591737 	 1.499918
76.600000 	 1.130381 	 17313.814493 	 17322.591737 	 1.499918
76.800000 	 1.130381 	 17310.513895 	 17322.591737 	 1.499918
77.000000 	 1.130458 	 17307.001599 	 17322.591737 	 1.500000
77.200000 	 1.130458 	 17303.322019 	 17327.287314 	 1.499977
77.400000 	 1.130458 	 17299.425744 	 17327.287314 	 1.499977
77.600000 	 1.130458 	 17295.323654 	 17327.287314 	 1.499977
77.800000 	 1.130458 	 17291.025881 	 17327.287314 	 1.499977
78.000000 	 1.130479 	 17286.543466 	 17327.287314 	 1.500000
78.200000 	 1.130479 	 17281.897591 	 17322.084292 	 1.500025
78.400000 	 1.130479 	 17277.081688 	 17322.084292 	 1.500025
78.600000 	 1.130479 	 17272.103430 	 17322.084292 	 1.500025
78.800000 	 1.130479 	 17266.969963 	 17322.084292 	 1.500025
79.000000 	 1.130456 	 17261.686172 	 17322.084292 	 1.500000
79.200000 	 1.130456 	 17256.244557 	 17309.527607 	 1.500060
79.400000 	 1.130456 	 17250.667202 	 17309.527607 	 1.500060
79.600000 	 1.130456 	 17244.959433 	 17309.527607 	 1.500060
79.800000 	 1.130456 	 17239.126215 	 17309.527607 	 1.500060
80.000000 	 1.130399 	 17233.167905 	 17309.527607 	 1.500000
80.200000 	 1.130399 	 17227.055828 	 17291.161024 	 1.500088
80.400000 	 1.130399 	 17220.833261 	 17291.161024 	 1.500088
80.600000 	 1.130399 	 17214.503816 	 17291.161024 	 1.500088
80.800000 	 1.130399 	 17208.070861 	 17291.161024 	 1.500088
81.000000 	 1.130316 	 17201.531310 	 17291.161024 	 1.500000
81.200000 	 1.130316 	 17194.839965 	 17268.045495 	 1.500111
81.400000 	 1.130316 	 17188.056839 	 17268.045495 	 1.500111
81.600000 	 1.130316 	 17181.184286 	 17268.045495 	 1.500111
81.800000 	 1.130316 	 17174.224504 	 17268.045495 	 1.500111
82.000000 	 1.130211 	 17167.171730 	 17268.045495 	 1.500000
82.200000 	 1.130211 	 17159.967466 	 17240.980133 	 1.500130
82.400000 	 1.130211 	 17152.685408 	 17240.980133 	 1.500130
82.600000 	 1.130211 	 17145.326983 	 17240.980133 	 1.500130
82.800000 	 1.130211 	 17137.893528 	 17240.980133 	 1.500130
83.000000 	 1.130089 	 17130.377167 	 17240.980133 	 1.500000
83.200000 	 1.130089 	 17122.708524 	 17210.554947 	 1.500146
83.400000 	 1.130089 	 17114.972663 	 17210.554947 	 1.500146
83.600000 	 1.130089 	 17107.170325 	 17210.554947 	 1.500146
83.800000 	 1.130089 	 17099.302208 	 17210.554947 	 1.500146
84.000000 	 1.129951 	 17091.358732 	 17210.554947 	 1.500000
84.200000 	 1.129951 	 17083.251199 	 17177.224217 	 1.500160
84.400000 	 1.129951 	 17075.066333 	 17177.224217 	 1.500160
84.600000 	 1.129951 	 17066.805259 	 17177.224217 	 1.500160
84.800000 	 1.129951 	 17058.469024 	 17177.224217 	 1.500160
85.000000 	 1.129801 	 17050.047427 	 17177.224217 	 1.500000
85.200000 	 1.129801 	 17041.455008 	 17141.325508 	 1.500172
85.400000 	 1.129801 	 17032.795424 	 17141.325508 	 1.500172
85.600000 	 1.129801 	 17024.069118 	 17141.325508 	 1.500172
85.800000 	 1.129801 	 17015.276506 	 17141.325508 	 1.500172
86.000000 	 1.129639 	 17006.405977 	 17141.325508 	 1.500000
86.200000 	 1.129639 	 16997.365158 	 17103.070187 	 1.500183
86.400000 	 1.129639 	 16988.264785 	 17103.070187 	 1.500183
86.600000 	 1.129639 	 16979.104807 	 17103.070187 	 1.500183
86.800000 	 1.129639 	 16969.885180 	 17103.070187 	 1.500183
87.000000 	 1.129466 	 16960.593124 	 17103.070187 	 1.500000
87.200000 	 1.129466 	 16951.130103 	 17062.484399 	 1.500195
87.400000 	 1.129466 	 16941.613358 	 17062.484399 	 1.500195
