S0 	 S1 	 S2 	 V1 	 V2 	 E0 	 E1 	 E2 	 I0 	 I1 	 I2 	 ICU0 	 ICU1 	 ICU2 	 D 	 R0 	 R1 	 R2 	 h 	 f1 	 f2 (first line is initial values + initially vaccianted)
9443692.875594 	 36489.361087 	 17628.877315 	 35235.891500 	 9582.779652 	 9445.896129 	 72.995748 	 70.531961 	 23126.159489 	 178.713729 	 172.681697 	 927.243067 	 0.000000 	 0.000000 	 0.000000 	 1057925.128107 	 44664.767151 	 60786.097773 	 0.000000 	 204896.575931 	 100689.667125
9443692.875594 	 36489.361087 	 17628.877315 	 35235.891500 	 9582.779652 	 9445.896129 	 72.995748 	 70.531961 	 23126.159489 	 178.713729 	 172.681697 	 927.243067 	 0.000000 	 0.000000 	 0.000000 	 1057925.128107 	 44664.767151 	 60786.097773 	 0.000000 	 7267.648624 	 2794.508118
9442054.796842 	 36739.791016 	 17765.040420 	 35535.816752 	 9560.116730 	 9307.443881 	 71.005910 	 67.693735 	 23134.243613 	 178.747775 	 172.686350 	 929.016007 	 0.090313 	 0.055188 	 3.243113 	 1058236.281297 	 45009.993407 	 61233.937653 	 0.000000 	 7267.648624 	 2794.508118
9440416.741822 	 36990.329560 	 17901.198571 	 35835.669556 	 9537.336737 	 9175.791541 	 69.121315 	 64.998734 	 23135.484104 	 178.685326 	 172.554023 	 930.760687 	 0.178991 	 0.109360 	 6.490136 	 1058547.489970 	 45355.164641 	 61681.894925 	 0.000000 	 7267.648624 	 2794.508118
9438778.776588 	 37240.974702 	 18037.351889 	 36135.450154 	 9514.442012 	 9050.542835 	 67.336518 	 62.439854 	 23130.343154 	 178.533365 	 172.294340 	 932.472338 	 0.266017 	 0.162494 	 9.740580 	 1058858.627159 	 45700.281292 	 62129.964709 	 0.000000 	 7267.648624 	 2794.508118
9437140.962737 	 37491.724473 	 18173.500492 	 36435.158784 	 9491.434828 	 8931.325155 	 65.646354 	 60.010342 	 23119.254776 	 178.298475 	 171.916394 	 934.146630 	 0.351377 	 0.214568 	 12.993975 	 1059169.574409 	 46045.343863 	 62578.142368 	 0.000000 	 7267.648624 	 2794.508118
9435505.261633 	 37742.584566 	 18309.648189 	 36734.803093 	 9468.319308 	 8815.879164 	 64.036413 	 57.700089 	 23102.624116 	 177.986849 	 171.428763 	 935.779651 	 0.435061 	 0.265566 	 16.249872 	 1059480.221258 	 46390.352916 	 63026.423495 	 -0.000000 	 7267.648624 	 2794.508118
9433905.988832 	 37993.691486 	 18445.862157 	 37034.515398 	 9445.131642 	 8670.507161 	 62.335272 	 55.438218 	 23079.812937 	 177.599237 	 170.837577 	 937.367583 	 0.517060 	 0.315471 	 19.507814 	 1059790.458122 	 46735.310149 	 63474.803883 	 -0.000004 	 7267.648624 	 2794.508118
9432307.024867 	 38244.899910 	 18582.072846 	 37334.154147 	 9421.837335 	 8531.991541 	 60.722969 	 53.290372 	 23050.428763 	 177.137358 	 170.149010 	 938.906016 	 0.597367 	 0.364273 	 22.767288 	 1060100.159456 	 47080.216990 	 63923.279492 	 -0.000008 	 7267.648624 	 2794.508118
9430708.435139 	 38496.208133 	 18718.280394 	 37633.719654 	 9398.438440 	 8399.933808 	 59.194837 	 51.250858 	 23014.931165 	 176.606965 	 169.370492 	 940.390775 	 0.675976 	 0.411962 	 26.027782 	 1060409.203181 	 47425.073964 	 64371.846476 	 -0.000012 	 7267.648624 	 2794.508118
