S0 	 S1 	 S2 	 V1 	 V2 	 E0 	 E1 	 E2 	 I0 	 I1 	 I2 	 ICU0 	 ICU1 	 ICU2 	 D 	 R0 	 R1 	 R2 	 h 	 f1 	 f2 (first line is initial values + initially vaccianted)
3034710.394375 	 392837.771435 	 189789.261063 	 383324.855086 	 104249.316964 	 3342.964721 	 865.481473 	 836.269326 	 8184.499835 	 2118.937399 	 2047.418006 	 487.275693 	 0.000000 	 0.000000 	 0.000000 	 374406.655806 	 489770.300186 	 663028.598631 	 0.000000 	 2229032.583913 	 1095384.575682
3034710.394375 	 392837.771435 	 189789.261063 	 383324.855086 	 104249.316964 	 3342.964721 	 865.481473 	 836.269326 	 8184.499835 	 2118.937399 	 2047.418006 	 487.275693 	 0.000000 	 0.000000 	 0.000000 	 374406.655806 	 489770.300186 	 663028.598631 	 0.000000 	 79063.427570 	 30400.945564
3020551.956242 	 395537.725743 	 191257.063255 	 386557.556686 	 104005.983314 	 3270.202924 	 836.454377 	 800.524339 	 8186.778560 	 2119.195361 	 2047.417004 	 482.834856 	 1.888454 	 1.153997 	 17.847856 	 372822.077712 	 493588.060509 	 667915.278812 	 0.000000 	 79063.427570 	 30400.945564
3006394.564310 	 398238.965292 	 192724.824389 	 389789.493924 	 103761.294822 	 3200.716954 	 808.910322 	 766.562398 	 8185.490196 	 2118.048916 	 2045.691472 	 478.540262 	 3.714590 	 2.269667 	 35.672893 	 371236.760196 	 497405.156912 	 672803.322483 	 0.000000 	 79063.427570 	 30400.945564
2992238.245663 	 400941.466757 	 194192.546026 	 393020.667452 	 103515.278887 	 3134.320016 	 782.773003 	 734.295021 	 8180.862855 	 2115.597379 	 2042.361609 	 474.382254 	 5.479246 	 3.347329 	 53.471068 	 369650.642289 	 501221.592354 	 677692.670791 	 0.000000 	 79063.427570 	 30400.945564
2978083.025186 	 403645.207369 	 195660.229670 	 396251.077923 	 103267.962160 	 3070.836474 	 757.970048 	 703.638106 	 8173.111164 	 2111.934417 	 2037.540963 	 470.351804 	 7.183315 	 4.387356 	 71.238516 	 368063.666991 	 505037.370743 	 682583.267795 	 0.000000 	 79063.427570 	 30400.945564
2963929.390591 	 406350.228634 	 197127.907682 	 399480.788597 	 103019.386711 	 3009.574321 	 734.353035 	 674.480850 	 8162.436410 	 2107.148252 	 2031.336736 	 466.440472 	 8.827744 	 5.390174 	 88.971543 	 366475.781039 	 508852.496887 	 687475.060322 	 -0.000000 	 79063.427570 	 30400.945564
2949785.700862 	 409057.666406 	 198596.142512 	 402710.916460 	 102769.865553 	 2941.188682 	 710.458776 	 646.205416 	 8148.747193 	 2101.279427 	 2023.833640 	 462.640230 	 10.413513 	 6.356247 	 106.666516 	 364886.935582 	 512666.985309 	 692367.997676 	 -0.000003 	 79063.427570 	 30400.945564
2935643.117962 	 411766.298330 	 200064.352414 	 405940.263617 	 102519.113742 	 2875.788417 	 687.772662 	 619.337605 	 8132.016414 	 2094.374723 	 2015.114931 	 458.943106 	 11.941594 	 7.286072 	 124.319604 	 363297.078806 	 516480.848673 	 697262.031329 	 -0.000007 	 79063.427570 	 30400.945564
2921501.662450 	 414476.104191 	 201532.538887 	 409168.831222 	 102267.155226 	 2813.206412 	 666.232209 	 593.807351 	 8112.447893 	 2086.512891 	 2005.272609 	 455.341581 	 13.412991 	 8.180176 	 141.927073 	 361706.159139 	 520294.092577 	 702157.115120 	 -0.000010 	 79063.427570 	 30400.945564
