t 	 Rt 	 N 	 N_obs 	 Rt_TTI_corrected
63.000000 	 1.000000 	 18668.806822 	 18668.806822 	 1.355429
63.200000 	 1.000000 	 18536.346340 	 18668.806822 	 1.355429
63.400000 	 1.000000 	 18410.499470 	 18668.806822 	 1.355429
63.600000 	 1.000000 	 18290.836622 	 18668.806822 	 1.355429
63.800000 	 1.000000 	 18176.956297 	 18668.806822 	 1.355429
64.000000 	 0.884190 	 18063.891711 	 18668.806822 	 1.232822
64.200000 	 0.884190 	 17871.018893 	 18668.806822 	 1.232822
64.400000 	 0.884190 	 17687.207324 	 18668.806822 	 1.232822
64.600000 	 0.884190 	 17511.885774 	 18668.806822 	 1.232822
64.800000 	 0.884190 	 17344.519669 	 18668.806822 	 1.232822
65.000000 	 0.825777 	 17180.000157 	 18668.806822 	 1.170980
65.200000 	 0.825777 	 16982.260532 	 18668.806822 	 1.170980
65.400000 	 0.825777 	 16793.282660 	 18668.806822 	 1.170980
65.600000 	 0.825777 	 16612.525471 	 18668.806822 	 1.170980
65.800000 	 0.825777 	 16439.482203 	 18668.806822 	 1.170980
66.000000 	 0.792967 	 16271.110766 	 18668.806822 	 1.136245
66.200000 	 0.792967 	 16087.146507 	 18148.947689 	 1.138451
66.400000 	 0.792967 	 15910.814824 	 18148.947689 	 1.138451
66.600000 	 0.792967 	 15741.652170 	 18148.947689 	 1.138451
66.800000 	 0.792967 	 15579.224168 	 18148.947689 	 1.138451
67.000000 	 0.773643 	 15421.629801 	 18148.947689 	 1.117976
67.200000 	 0.773643 	 15256.960491 	 17388.953753 	 1.121178
67.400000 	 0.773643 	 15098.620111 	 17388.953753 	 1.121178
67.600000 	 0.773643 	 14946.230307 	 17388.953753 	 1.121178
67.800000 	 0.773643 	 14799.436414 	 17388.953753 	 1.121178
68.000000 	 0.762172 	 14657.032743 	 17388.953753 	 1.109009
68.200000 	 0.762172 	 14511.972915 	 16576.600693 	 1.112416
68.400000 	 0.762172 	 14372.010274 	 16576.600693 	 1.112416
68.600000 	 0.762172 	 14236.845220 	 16576.600693 	 1.112416
68.800000 	 0.762172 	 14106.196838 	 16576.600693 	 1.112416
69.000000 	 0.755610 	 13979.311176 	 16576.600693 	 1.105446
69.200000 	 0.755610 	 13852.159174 	 15715.790134 	 1.109046
69.400000 	 0.755610 	 13729.029863 	 15715.790134 	 1.109046
69.600000 	 0.755610 	 13609.691448 	 15715.790134 	 1.109046
69.800000 	 0.755610 	 13493.926543 	 15715.790134 	 1.109046
70.000000 	 0.752295 	 13381.288429 	 15715.790134 	 1.105520
70.200000 	 0.752295 	 13269.705495 	 14935.569991 	 1.108780
70.400000 	 0.752295 	 13161.232866 	 14935.569991 	 1.108780
70.600000 	 0.752295 	 13055.695736 	 14935.569991 	 1.108780
70.800000 	 0.752295 	 12952.930129 	 14935.569991 	 1.108780
71.000000 	 0.751230 	 12852.705946 	 14935.569991 	 1.107646
71.200000 	 0.751230 	 12754.291063 	 14231.627415 	 1.110585
71.400000 	 0.751230 	 12658.253262 	 14231.627415 	 1.110585
71.600000 	 0.751230 	 12564.463218 	 14231.627415 	 1.110585
71.800000 	 0.751230 	 12472.799596 	 14231.627415 	 1.110585
72.000000 	 0.751785 	 12383.187372 	 14231.627415 	 1.111177
72.200000 	 0.751785 	 12295.818865 	 13605.723780 	 1.113790
72.400000 	 0.751785 	 12210.235911 	 13605.723780 	 1.113790
72.600000 	 0.751785 	 12126.345627 	 13605.723780 	 1.113790
72.800000 	 0.751785 	 12044.060844 	 13605.723780 	 1.113790
73.000000 	 0.753543 	 11963.419833 	 13605.723780 	 1.115667
73.200000 	 0.753543 	 11885.270947 	 13051.192532 	 1.117984
73.400000 	 0.753543 	 11808.434987 	 13051.192532 	 1.117984
73.600000 	 0.753543 	 11732.847985 	 13051.192532 	 1.117984
73.800000 	 0.753543 	 11658.449882 	 13051.192532 	 1.117984
74.000000 	 0.756233 	 11585.363467 	 13051.192532 	 1.120857
74.200000 	 0.756233 	 11514.916119 	 12558.895261 	 1.122917
74.400000 	 0.756233 	 11445.406064 	 12558.895261 	 1.122917
74.600000 	 0.756233 	 11376.792138 	 12558.895261 	 1.122917
74.800000 	 0.756233 	 11309.035665 	 12558.895261 	 1.122917
75.000000 	 0.759668 	 11242.323253 	 12558.895261 	 1.126587
75.200000 	 0.759668 	 11178.338141 	 12119.649885 	 1.128427
75.400000 	 0.759668 	 11114.992618 	 12119.649885 	 1.128427
75.600000 	 0.759668 	 11052.263433 	 12119.649885 	 1.128427
75.800000 	 0.759668 	 10990.128712 	 12119.649885 	 1.128427
76.000000 	 0.763693 	 10928.822475 	 12119.649885 	 1.132732
76.200000 	 0.763693 	 10870.286534 	 11725.156464 	 1.134387
76.400000 	 0.763693 	 10812.155111 	 11725.156464 	 1.134387
76.600000 	 0.763693 	 10754.418955 	 11725.156464 	 1.134387
76.800000 	 0.763693 	 10697.069320 	 11725.156464 	 1.134387
77.000000 	 0.768188 	 10640.374903 	 11725.156464 	 1.139197
77.200000 	 0.768188 	 10586.453669 	 11368.317091 	 1.140696
77.400000 	 0.768188 	 10532.741957 	 11368.317091 	 1.140696
77.600000 	 0.768188 	 10479.241988 	 11368.317091 	 1.140696
77.800000 	 0.768188 	 10425.955769 	 11368.317091 	 1.140696
78.000000 	 0.773058 	 10373.177441 	 11368.317091 	 1.145911
78.200000 	 0.773058 	 10323.160334 	 11043.214408 	 1.147280
78.400000 	 0.773058 	 10273.210505 	 11043.214408 	 1.147280
78.600000 	 0.773058 	 10223.338386 	 11043.214408 	 1.147280
78.800000 	 0.773058 	 10173.553683 	 11043.214408 	 1.147280
79.000000 	 0.778228 	 10124.167714 	 11043.214408 	 1.152817
79.200000 	 0.778228 	 10077.517304 	 10744.950209 	 1.154076
79.400000 	 0.778228 	 10030.823090 	 10744.950209 	 1.154076
79.600000 	 0.778228 	 9984.101792 	 10744.950209 	 1.154076
79.800000 	 0.778228 	 9937.369010 	 10744.950209 	 1.154076
80.000000 	 0.783639 	 9890.947553 	 10744.950209 	 1.159875
80.200000 	 0.783639 	 9847.225388 	 10469.444312 	 1.161040
80.400000 	 0.783639 	 9803.373115 	 10469.444312 	 1.161040
80.600000 	 0.783639 	 9759.412211 	 10469.444312 	 1.161040
80.800000 	 0.783639 	 9715.362745 	 10469.444312 	 1.161040
81.000000 	 0.789257 	 9671.555222 	 10469.444312 	 1.167062
81.200000 	 0.789257 	 9630.408636 	 10213.390614 	 1.168147
81.400000 	 0.789257 	 9589.064978 	 10213.390614 	 1.168147
81.600000 	 0.789257 	 9547.549303 	 10213.390614 	 1.168147
81.800000 	 0.789257 	 9505.885035 	 10213.390614 	 1.168147
82.000000 	 0.795051 	 9464.407461 	 10213.390614 	 1.174362
82.200000 	 0.795051 	 9425.551213 	 9974.127697 	 1.175378
82.400000 	 0.795051 	 9386.446034 	 9974.127697 	 1.175378
82.600000 	 0.795051 	 9347.119636 	 9974.127697 	 1.175378
82.800000 	 0.795051 	 9307.597933 	 9974.127697 	 1.175378
83.000000 	 0.800990 	 9268.218290 	 9974.127697 	 1.181750
83.200000 	 0.800990 	 9231.415636 	 9749.497423 	 1.182707
83.400000 	 0.800990 	 9194.324229 	 9749.497423 	 1.182707
83.600000 	 0.800990 	 9156.973708 	 9749.497423 	 1.182707
83.800000 	 0.800990 	 9119.391791 	 9749.497423 	 1.182707
84.000000 	 0.807046 	 9081.915711 	 9749.497423 	 1.189206
84.200000 	 0.807046 	 9046.962594 	 9537.762554 	 1.190109
84.400000 	 0.807046 	 9011.681472 	 9537.762554 	 1.190109
84.600000 	 0.807046 	 8976.103862 	 9537.762554 	 1.190109
84.800000 	 0.807046 	 8940.259242 	 9537.762554 	 1.190109
85.000000 	 0.813193 	 8904.483382 	 9537.762554 	 1.196710
85.200000 	 0.813193 	 8871.176479 	 9337.508380 	 1.197566
85.400000 	 0.813193 	 8837.521392 	 9337.508380 	 1.197566
85.600000 	 0.813193 	 8803.550365 	 9337.508380 	 1.197566
85.800000 	 0.813193 	 8769.293563 	 9337.508380 	 1.197566
86.000000 	 0.819411 	 8735.083325 	 9337.508380 	 1.204244
86.200000 	 0.819411 	 8703.289147 	 9147.548720 	 1.205058
86.400000 	 0.819411 	 8671.132147 	 9147.548720 	 1.205058
86.600000 	 0.819411 	 8638.644977 	 9147.548720 	 1.205058
86.800000 	 0.819411 	 8605.858190 	 9147.548720 	 1.205058
87.000000 	 0.825684 	 8573.099731 	 9147.548720 	 1.211797
87.200000 	 0.825684 	 8542.702925 	 8966.831679 	 1.212573
87.400000 	 0.825684 	 8511.933130 	 8966.831679 	 1.212573
