S0 	 S1 	 S2 	 V1 	 V2 	 E0 	 E1 	 E2 	 I0 	 I1 	 I2 	 ICU0 	 ICU1 	 ICU2 	 D 	 R0 	 R1 	 R2 	 f1 	 f2 (first line is initial values + initially vaccianted)
18050741.580294 	 70342.203679 	 33983.989903 	 67919.680082 	 18471.487468 	 18053.951614 	 140.709426 	 135.960134 	 44201.053953 	 344.495491 	 332.867913 	 37.846656 	 0.000000 	 0.000000 	 0.000000 	 2022013.455672 	 86101.432374 	 117179.285340 	 394952.683041 	 194086.475115
18050741.580294 	 70342.203679 	 33983.989903 	 67919.680082 	 18471.487468 	 18053.951614 	 140.709426 	 135.960134 	 44201.053953 	 344.495491 	 332.867913 	 37.846656 	 0.000000 	 0.000000 	 0.000000 	 2022013.455672 	 86101.432374 	 117179.285340 	 14008.908203 	 5386.612607
18047429.215377 	 70822.820817 	 34245.749401 	 68500.168075 	 18428.443400 	 17946.236316 	 137.644673 	 130.784484 	 44220.420902 	 344.580342 	 332.884245 	 38.130887 	 0.008715 	 0.005326 	 0.183897 	 2022614.916564 	 86765.571022 	 118042.235556 	 14008.908203 	 5386.612607
18044116.836908 	 71303.646603 	 34507.496861 	 69080.507417 	 18385.170059 	 17843.932676 	 134.749412 	 125.872941 	 44234.207531 	 344.516130 	 332.650706 	 38.404635 	 0.017089 	 0.010441 	 0.368296 	 2023216.596240 	 87429.601395 	 118905.414658 	 14008.908203 	 5386.612607
18040804.553395 	 71784.677016 	 34769.232478 	 69660.698484 	 18341.671990 	 17746.670614 	 132.014862 	 121.212427 	 44242.782936 	 344.313978 	 332.184993 	 38.668094 	 0.025131 	 0.015350 	 0.553164 	 2023818.386611 	 88093.525071 	 119768.813406 	 14008.908203 	 5386.612607
18037492.466089 	 72265.908133 	 35030.956444 	 70240.741638 	 18297.953611 	 17654.105175 	 129.432697 	 116.790514 	 44246.491212 	 343.984363 	 331.503818 	 38.921467 	 0.032851 	 0.020057 	 0.738470 	 2024420.186723 	 88757.343721 	 120632.423017 	 14008.908203 	 5386.612607
18034185.318670 	 72747.354886 	 35292.678037 	 70820.655472 	 18254.023922 	 17561.253207 	 126.971599 	 112.586302 	 44245.647329 	 343.537126 	 330.622951 	 39.164960 	 0.040259 	 0.024567 	 0.924184 	 2025021.902276 	 89421.059107 	 121496.235146 	 14008.908203 	 5386.612607
18030966.878478 	 73229.354362 	 35554.562633 	 71400.765723 	 18209.970962 	 17386.315865 	 124.213291 	 108.429009 	 44238.057159 	 342.969011 	 329.552421 	 39.398751 	 0.047363 	 0.028885 	 1.110275 	 2025623.428252 	 90084.675738 	 122360.241822 	 14008.908203 	 5386.612607
18027748.927076 	 73711.549650 	 35816.438901 	 71980.723579 	 18165.708701 	 17219.572460 	 121.604786 	 104.483859 	 44222.162532 	 342.279441 	 328.302654 	 39.622901 	 0.054173 	 0.033014 	 1.296703 	 2026224.606810 	 90748.197396 	 123224.435363 	 14008.908203 	 5386.612607
18024531.596672 	 74193.937444 	 36078.307117 	 72560.529589 	 18121.241142 	 17060.493881 	 119.138107 	 100.740240 	 44198.520226 	 341.478035 	 326.887436 	 39.837470 	 0.060697 	 0.036961 	 1.483432 	 2026825.277502 	 91411.625599 	 124088.808451 	 14008.908203 	 5386.612607
18021315.010447 	 74676.514514 	 36340.167547 	 73140.184285 	 18076.572177 	 16908.585627 	 116.805701 	 97.188070 	 44167.650673 	 340.573841 	 325.319765 	 40.042532 	 0.066943 	 0.040729 	 1.670423 	 2027425.290648 	 92074.961940 	 124953.354137 	 14008.908203 	 5386.612607
