S0 	 S1 	 S2 	 V1 	 V2 	 E0 	 E1 	 E2 	 I0 	 I1 	 I2 	 ICU0 	 ICU1 	 ICU2 	 D 	 R0 	 R1 	 R2 	 f1 	 f2 (first line is initial values + initially vaccianted)
3034710.394375 	 392837.771435 	 189789.261063 	 383324.855086 	 104249.316964 	 3342.964721 	 865.481473 	 836.269326 	 8184.499835 	 2118.937399 	 2047.418006 	 487.275693 	 0.000000 	 0.000000 	 0.000000 	 374406.655806 	 489770.300186 	 663028.598631 	 2229032.583913 	 1095384.575682
3034710.394375 	 392837.771435 	 189789.261063 	 383324.855086 	 104249.316964 	 3342.964721 	 865.481473 	 836.269326 	 8184.499835 	 2118.937399 	 2047.418006 	 487.275693 	 0.000000 	 0.000000 	 0.000000 	 374406.655806 	 489770.300186 	 663028.598631 	 79063.427570 	 30400.945564
3020501.687945 	 395522.913564 	 191251.646972 	 386567.713511 	 104008.742842 	 3325.485649 	 844.527091 	 803.610835 	 8188.160965 	 2119.396951 	 2047.494043 	 482.835514 	 1.888515 	 1.154012 	 17.848349 	 372822.073028 	 493579.777600 	 667913.042615 	 79063.427570 	 30400.945564
3006294.258752 	 398209.323329 	 192713.965624 	 389809.723597 	 103766.785854 	 3308.442923 	 824.706534 	 772.610405 	 8190.893180 	 2118.838977 	 2045.993683 	 478.545396 	 3.715065 	 2.269782 	 35.676799 	 371236.772928 	 497388.593329 	 672798.883845 	 79063.427570 	 30400.945564
2992088.128062 	 400896.976115 	 194176.218119 	 393050.884902 	 103523.473532 	 3291.795092 	 805.961625 	 743.186081 	 8192.735429 	 2117.338298 	 2043.028168 	 474.399139 	 5.480808 	 3.347707 	 53.484102 	 369650.739097 	 501196.757826 	 677686.065898 	 79063.427570 	 30400.945564
2977883.315658 	 403585.847927 	 195638.405516 	 396291.196856 	 103278.832650 	 3275.504233 	 788.237181 	 715.259954 	 8193.723928 	 2114.965445 	 2038.702580 	 470.390799 	 7.186931 	 4.388232 	 71.269060 	 368063.955723 	 505004.282202 	 682574.535126 	 79063.427570 	 30400.945564
2963680.604057 	 406276.020117 	 197100.579643 	 399530.761694 	 103032.915797 	 3258.669652 	 771.349735 	 688.707223 	 8193.891297 	 2111.786730 	 2033.116098 	 466.514675 	 8.834641 	 5.391845 	 89.030516 	 366476.407557 	 508811.178209 	 687464.240515 	 79063.427570 	 30400.945564
2949493.722301 	 408969.373233 	 198563.664076 	 402771.414898 	 102786.221708 	 3226.146924 	 752.950560 	 662.566437 	 8192.806227 	 2107.794546 	 2026.335221 	 462.765067 	 10.425140 	 6.359067 	 106.767183 	 364888.081336 	 512617.472768 	 692355.133307 	 79063.427570 	 30400.945564
2935308.136542 	 411663.912076 	 200026.701983 	 406011.186363 	 102538.266548 	 3194.754173 	 735.534067 	 637.753003 	 8190.158900 	 2102.995698 	 2018.428091 	 459.135740 	 11.959572 	 7.290434 	 124.477224 	 363298.953967 	 516423.189045 	 697247.166573 	 79063.427570 	 30400.945564
2921123.870436 	 414359.616324 	 201489.694905 	 409250.076425 	 102289.074534 	 3164.412712 	 719.048574 	 614.200708 	 8186.034209 	 2097.453510 	 2009.481059 	 455.620610 	 13.439087 	 8.186513 	 142.158749 	 361708.998065 	 520228.337939 	 702140.295642 	 79063.427570 	 30400.945564
2906940.945794 	 417056.466135 	 202952.644325 	 412488.085299 	 102038.669216 	 3135.049534 	 703.445115 	 591.846636 	 8180.511615 	 2091.227562 	 1999.575573 	 452.213907 	 14.864847 	 9.047898 	 159.809949 	 360118.187683 	 524032.930861 	 707034.478050 	 79063.427570 	 30400.945564
2892760.124473 	 419754.549770 	 204415.604076 	 415725.319508 	 101787.099577 	 3105.750705 	 688.543960 	 570.578742 	 8173.663408 	 2084.373561 	 1988.788297 	 448.910162 	 16.238033 	 9.875206 	 177.429086 	 358526.498236 	 527836.979760 	 711929.673437 	 79063.427570 	 30400.945564
2878587.333497 	 422454.718152 	 205878.998669 	 418962.621402 	 101534.594016 	 3069.931446 	 673.267685 	 549.934506 	 8165.315844 	 2076.905741 	 1977.176540 	 445.704054 	 17.559819 	 10.669077 	 195.014397 	 356933.907107 	 531640.504758 	 716825.843292 	 79063.427570 	 30400.945564
